,bradn,mile,name,fuel,price,year,model,location
1202,BMW,64085.0,7시리즈 (G11),가솔린,6990.0,2017,740Li xDrive M 스포츠,광주
1203,벤츠,12220.0,E-클래스 W213,가솔린,6190.0,2021,E250 아방가르드,대구
1204,벤츠,74090.0,S-클래스 W221,가솔린,3550.0,2013,S350L 블루이피션시,경기
1205,BMW,174083.0,X3 (F25),디젤,1250.0,2013,xDrive 20d 하이,대구
1206,벤츠,157752.0,S-클래스 W221,가솔린,910.0,2006,S500L,경기
1207,벤츠,187704.0,S-클래스 W221,가솔린,1550.0,2010,S350L,대전
1208,벤츠,216618.0,G-클래스 W463,가솔린,5999.0,2004,G500,경기
1209,BMW,169868.0,7시리즈 (F01),가솔린,1139.0,2010,740Li,경기
1210,BMW,110000.0,7시리즈 (G11),디젤,4550.0,2016,730d xDrive,경기
1211,벤츠,131914.0,B-클래스 W245,가솔린,750.0,2011,B200,경기
1212,닛산,114310.0,큐브,가솔린,579.0,2011,1.8 SL,경기
1213,볼보,154678.0,S80,디젤,650.0,2009,D5,경기
1214,벤츠,14337.0,EQC N293,전기,6600.0,2020,EQC400 4MATIC,대구
1215,아우디,72127.0,S8,가솔린,4350.0,2014,4.0 TFSI 콰트로,서울
