,brand,mile,name,fuel,price,year,model,location,color
6705,BMW,66053,5시리즈 (G30),디젤,3700,2017,520d M 스포츠 플러스,경기,검정색
6706,BMW,155555,3시리즈 (F30),디젤,1399,2015,320d,경기,검정색
6707,벤츠,62961,E-클래스 W213,디젤,5899,2018,E220d 카브리올레,경기,검정색
6708,벤츠,48571,E-클래스 W213,디젤,4520,2017,E220d 익스클루시브,경기,검정색
6709,벤츠,84364,E-클래스 W213,디젤,4650,2017,E220d 쿠페,부산,검정색
6710,벤츠,85623,E-클래스 W213,가솔린,4499,2017,E300 AMG Line,경기,검정색
6711,벤츠,179747,S-클래스 W222,가솔린,4530,2015,S500L,경기,검정색
6712,벤츠,84364,E-클래스 W213,디젤,4650,2017,E220d 쿠페,부산,검정색
6713,도요타,95097,툰드라,가솔린,5790,2016,5.7,경기,검정색
6714,포드,51816,익스플로러,가솔린,3070,2017,2.3 리미티드 4WD,경기,검정색
6715,벤츠,120549,CLS-클래스 W219,가솔린,1299,2010,CLS350,대구,검정색
6716,재규어,124848,All New XJ,디젤,3390,2017,3.0D 프리미엄 럭셔리 SWB,경기,검정색
6717,벤츠,72329,GLC-클래스 X253,디젤,3550,2016,GLC220 d 4MATIC 프리미엄,경기,검정색
6718,BMW,35616,5시리즈 (G30),디젤,4360,2018,520d M 스포츠 플러스,경기,검정색
6719,벤츠,76643,S-클래스 W222,디젤,7300,2017,S350 d 4MATIC,경기,검정색
6720,포르쉐,79780,뉴 카이엔,디젤,7350,2017,3.0 디젤 플래티넘 에디션,경기,검정색
6721,벤츠,61000,CLS-클래스 W218,가솔린,3850,2015,CLS400 AMG Line,인천,검정색
6722,벤츠,76643,S-클래스 W222,디젤,7300,2017,S350 d 4MATIC,경기,검정색
6723,BMW,35616,5시리즈 (G30),디젤,4360,2018,520d M 스포츠 플러스,경기,검정색
6724,포르쉐,79780,뉴 카이엔,디젤,7350,2017,3.0 디젤 플래티넘 에디션,경기,검정색
