,bradn,mile,name,fuel,price,year,model,location
3495,아우디,20.0,S7 (4K),디젤,10500.0,2020,3.0 TDI 콰트로,대구
3496,아우디,6274.0,Q8,디젤,9300.0,2020,50 TDI 콰트로 프리미엄,대구
3497,벤츠,84333.0,CLS-클래스 W218,가솔린,3499.0,2015,CLS400,경기
3498,벤츠,84333.0,CLS-클래스 W218,가솔린,3499.0,2015,CLS400,경기
3499,벤츠,9642.0,S-클래스 W222,디젤,11690.0,2020,S350 d 4MATIC AMG Line,대구
3500,렉서스,37616.0,뉴 ES300h,가솔린+전기,2690.0,2014,슈프림,부산
3501,렉서스,37616.0,뉴 ES300h,가솔린+전기,2690.0,2014,슈프림,부산
3502,혼다,201865.0,올뉴어코드,가솔린,490.0,2011,2.4,부산
3503,BMW,4549.0,i8,가솔린+전기,99999.0,2015,쿠페,서울
3504,폭스바겐,157121.0,더 뉴 파사트,디젤,880.0,2015,2.0 TDI,서울
3505,벤츠,59416.0,E-클래스 W213,디젤,5060.0,2017,E220d 쿠페,경기
3506,인피니티,56000.0,QX60,가솔린,1890.0,2014,3.5 AWD,인천
3507,BMW,25793.0,X5 (G05),디젤,7684.0,2020,xDrive 30d M 스포츠,광주
3508,BMW,90822.0,X6 (F16),디젤,4300.0,2016,xDrive 30d,경기
3509,BMW,116259.0,1시리즈 (F20),디젤,1390.0,2016,118d 스포츠 5도어,경기
3510,아우디,28387.0,뉴 A6,디젤,3250.0,2016,40 TDI 콰트로 스포츠,부산
3511,아우디,70964.0,뉴 A6,디젤,2680.0,2016,40 TDI 콰트로,부산
3512,BMW,26162.0,5시리즈 (G30),가솔린,5450.0,2019,530i xDrive M 스포츠 플러스,부산
3513,아우디,70964.0,뉴 A6,디젤,2680.0,2016,40 TDI 콰트로,부산
3514,BMW,26162.0,5시리즈 (G30),가솔린,5450.0,2019,530i xDrive M 스포츠 플러스,부산
3515,아우디,28387.0,뉴 A6,디젤,3250.0,2016,40 TDI 콰트로 스포츠,부산
3516,미니,18803.0,쿠퍼 SD,디젤,2680.0,2018,5도어 기본형,경기
3517,BMW,28500.0,X7 (G07),디젤,11000.0,2020,xDrive 30d M 스포츠,경기
3518,벤츠,75000.0,C-클래스 W205,디젤,2900.0,2017,C220 d 아방가르드,대전
3519,BMW,56640.0,5시리즈 (G30),디젤,4200.0,2018,520d xDrive M 스포츠 플러스,울산
3520,BMW,88253.0,X6 (E71),디젤,3550.0,2014,30d,울산
3521,포르쉐,146000.0,뉴 카이엔,디젤,3900.0,2014,3.0 디젤 플래티넘 에디션,광주
3522,벤츠,46000.0,E-클래스 W213,가솔린,4200.0,2017,E300 아방가르드 인텔리전트 드라이브,광주
3523,마세라티,68279.0,르반떼,디젤,7350.0,2018,3.0 디젤 AWD 그란스포츠,서울
3524,벤츠,63479.0,G-클래스 W463,가솔린,11350.0,2016,G63 AMG,서울
3525,아우디,35542.0,A6 (C8),가솔린,5060.0,2020,45 TFSI 콰트로 프리미엄,경기
3526,마세라티,68279.0,르반떼,디젤,7350.0,2018,3.0 디젤 AWD 그란스포츠,서울
3527,벤츠,63479.0,G-클래스 W463,가솔린,11350.0,2016,G63 AMG,서울
3528,마세라티,94289.0,기블리,디젤,5490.0,2018,3.0 디젤,서울
3529,닛산,23787.0,알티마 (L34),가솔린,2110.0,2019,2.5 스페셜 에디션,부산
3530,마세라티,94289.0,기블리,디젤,5490.0,2018,3.0 디젤,서울
3531,닛산,23787.0,알티마 (L34),가솔린,2110.0,2019,2.5 스페셜 에디션,부산
3532,BMW,148533.0,3시리즈 (F30),디젤,1770.0,2015,320d 투어링 M 퍼포먼스 에디션,경기
3533,도요타,229000.0,MR-S,가솔린,800.0,2000,SPYDER,서울
3534,아우디,97840.0,A5,디젤,1649.0,2014,2.0 TDI 콰트로 다이나믹 스포츠백,경기
