,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
200,기아,더K9(2세대),3.8GDI AWD 플래티넘3,2019 ,"29,300Km",휘발유,검정,"4,700"
201,현대,제네시스DH,G330모던AWD ,2016 ,"108,128Km",휘발유,검정,"1,980"
202,기아,올뉴쏘렌토,디젤2.0 2WD 럭셔리,2016,"132,585Km",경유,검정,"1,529"
203,현대,그랜저HG,가솔린 HG240 모던 컬렉션,2017 ,"48,400Km",휘발유,검정,"1,600"
204,제네시스,G80(1세대),3.3GDI 프리미엄럭셔리,2018 ,"106,300Km",휘발유,검정,"2,530"
205,쉐보레/대우,더넥스트스파크,LTZ ,2017,"49,584Km",휘발유,검정,810
206,현대,제네시스DH,G330모던 ,2016 ,"97,600Km",휘발유,검정,"2,080"
207,현대,그랜저IG,3.0가솔린 모던 베이직,2018,"57,364Km",휘발유,검정,"2,000"
208,현대,베라크루즈,디젤2WD 300VXL ,2014 ,"87,400Km",경유,검정,"1,880"
209,현대,제네시스DH,G330모던AWD ,2016,"88,207Km",휘발유,검정,"2,240"
210,미니,컨트리맨(1세대),쿠퍼 ,2011 ,"148,512Km",휘발유,검정,920
211,BMW,3시리즈(F30),320d D,2012 ,"107,654Km",경유,검정,"1,299"
212,쉐보레/대우,스파크,LT 기본형,2015 ,"87,431Km",휘발유,검정,379
213,기아,올뉴카니발,7인승 리무진 매직스페이스,2018,"63,331Km",경유,검정,"2,630"
214,기아,더뉴레이,시그니처 ,2021 ,"6,994Km",휘발유,검정,"1,680"
215,현대,그랜저HG,가솔린 HG300 프리미엄,2014,"76,900Km",휘발유,검정,"1,290"
216,랜드로버,레인지로버이보크(1세대),2.0TD4 HSE,2016,"119,544Km",경유,검정,"2,700"
217,현대,에쿠스(신형),VS380 프레스티지,2015 ,"153,900Km",휘발유,검정,"2,400"
218,기아,더뉴모하비,3.0 4WD 프레지던트,2017,"90,000Km",경유,검정,"2,780"
219,제네시스,G80(1세대),3.8GDI AWD 럭셔리,2019,"49,686Km",휘발유,검정,"3,940"
220,기아,더뉴K9(1세대),3.3GDI 프레스티지 ,2018,"120,197Km",휘발유,검정,"2,010"
221,기아,뉴쏘렌토R,디젤2.0 2WD 트렌디,2014 ,"130,924Km",경유,검정,"1,220"
222,현대,에쿠스(신형),VS380 프레스티지VIP팩I,2012,"136,026Km",휘발유,검정,"1,520"
223,기아,더뉴카니발,9인승 프레스티지,2019,"67,312Km",경유,검정,"2,460"
224,현대,그랜저HG,가솔린 HG300 프리미엄,2013 ,"125,892Km",휘발유,검정,"1,090"
225,기아,더K9(2세대),3.8GDI AWD 플래티넘2,2019,"34,208Km",휘발유,검정,"4,200"
226,현대,그랜저HG,가솔린 HG240 럭셔리,2012 ,"86,130Km",휘발유,검정,"1,020"
227,현대,제네시스DH,G330모던 ,2016,"76,208Km",휘발유,검정,"2,240"
228,아우디,A7,55 TDI 콰트로 ,2016,"84,320Km",경유,검정,"3,530"
229,벤츠,CLA클래스(1세대),CLA200CDI4MATIC ,2015,"127,920Km",경유,검정,"1,680"
230,쉐보레/대우,더뉴말리부,E-터보 프리미어,2020,"5,711Km",휘발유,검정,"2,410"
231,현대,그랜저HG,가솔린 HG240 모던 컬렉션,2017,"149,837Km",휘발유,검정,"1,200"
232,BMW,5시리즈(F10),520d M에어로다이내믹,2016,"91,746Km",경유,검정,"2,900"
233,쉐보레/대우,더넥스트스파크,LT ,2017,"37,873Km",휘발유,검정,760
234,현대,그랜저HG,가솔린 HG300 노블,2012,"136,212Km",휘발유,검정,900
235,기아,더뉴카니발,9인승 노블레스스페셜,2019,"22,395Km",경유,검정,"3,340"
236,현대,에쿠스(신형),VS380 럭셔리,2012,"98,589Km",휘발유,검정,"1,480"
237,기아,모닝 어반,시그니처 엣지UP,2021,"21,412Km",휘발유,검정,"1,380"
238,아우디,TT(2세대),2.0TFSI콰트로로드스터 ,2011 ,"130,000Km",휘발유,검정,"2,020"
239,BMW,X6M,X6M(F86) ,2015,"121,197Km",경유,검정,"5,450"
240,현대,에쿠스(신형),VS380 프레스티지,2012,"125,427Km",휘발유,검정,"1,520"
241,르노삼성,SM6,2.0 GDe LE,2016,"52,665Km",휘발유,검정,"1,380"
242,쉐보레,익스프레스밴,익스플로러9인승 ,2019,"10,000Km",휘발유,검정,"7,450"
243,제네시스,EQ900,3.8GDI AWD 프리미엄럭셔리,2016,"130,000Km",휘발유,검정,"3,140"
244,포드,머스탱(6세대),2.3에코부스트 쿠페,2017,"46,725Km",휘발유,검정,"2,970"
245,기아,올뉴K7,2.4GDI 프레스티지,2017,"96,000Km",휘발유,검정,"1,689"
246,르노삼성,SM5노바,가솔린 2.0 PE,2017,"89,000Km",휘발유,검정,729
247,기아,올뉴K7,2.2디젤 프레스티지,2016,"154,000Km",경유,검정,"1,459"
248,제네시스,G80(1세대),3.3GDI 프리미엄럭셔리,2018,"139,000Km",휘발유,검정,"2,319"
249,르노삼성,SM6,LPe LE,2020 ,"7,989Km",LPG,검정,"1,920"
250,기아,레이,프레스티지 ,2017,"24,039Km",휘발유,검정,"1,260"
251,지프,그랜드체로키(4세대),3.6가솔린 오버랜드,2019,"19,000Km",휘발유,검정,"4,580"
252,링컨,컨티넨탈10세대,3.0AWD ,2018,"67,000Km",휘발유,검정,"3,520"
253,제네시스,G70,3.3T스포츠 어드밴스드,2018,"38,000Km",휘발유,검정,"3,270"
254,푸조,308(2세대),1.5 BludHDi GT Pack,2021,"2,000Km",경유,검정,"2,710"
255,BMW,7시리즈(G11/12),750Li xDrive ,2016,"51,000Km",휘발유,검정,"6,450"
256,현대,LF쏘나타,1.7디젤 스타일 ,2016,"76,939Km",경유,검정,"1,320"
257,르노삼성,QM6,디젤2WD RE시그니처,2019,"70,338Km",경유,검정,"1,820"
258,기아,더뉴K9(1세대),3.3GDI 이그제큐티브 ,2018,"57,308Km",휘발유,검정,"2,690"
259,제네시스,EQ900,3.8GDI 럭셔리,2018,"93,636Km",휘발유,검정,"3,140"
260,현대,엑센트(신형),위트1.6VGT모던 ,2017,"72,000Km",경유,검정,800
261,캐딜락,ATS,2.0T 럭셔리,2017,"40,000Km",휘발유,검정,"2,070"
262,현대,아슬란,G300 모던 ,2017,"83,000Km",휘발유,검정,"1,560"
263,르노삼성,SM6,1.6 TCe RE,2019,"78,000Km",휘발유,검정,"1,650"
264,르노삼성,SM7노바,LPe ,2016,"71,519Km",LPG,검정,"1,250"
265,제네시스,G80(1세대),3.3GDI AWD 프레스티지,2018,"148,069Km",휘발유,검정,"2,790"
266,벤츠,C클래스(W205),C200쿠페 ,2016,"99,002Km",휘발유,검정,"3,340"
267,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"42,337Km",휘발유,검정,"2,020"
268,쌍용,코란도스포츠,CX7 4WD 패션,2012,"137,938Km",경유,검정,920
269,현대,i30,1.6VVT 익스트림 ,2012,"111,370Km",경유,검정,690
270,현대,그랜드스타렉스,5인승밴 CVX럭셔리,2013,"109,769Km",경유,검정,860
271,현대,그랜드스타렉스,12인승왜건 스마트,2016,"24,071Km",경유,검정,"1,400"
272,기아,더뉴K5,트렌디 ,2014,"106,816Km",휘발유,검정,970
273,BMW,7시리즈(G11/12),750Li xDrive ,2017,"97,738Km",휘발유,검정,"6,250"
274,기아,올뉴K7,2.4GDI 프레스티지,2019,"58,147Km",휘발유,검정,"2,210"
