brand,name,type,km,year,accident,color,location,price,wd,trim
기아,K5,가솔린,68452,2019,무사고,흰색,전북,1750,2WD,1
기아,K5,LPG,118554,2015,무사고,흰색,경기,799,2WD,1
기아,K5,가솔린,96678,2017,무사고,흰색,광주,1170,2WD,1
기아,K5,LPG,59415,2019,무사고,흰색,광주,1750,2WD,1
기아,K5,가솔린,14721,2016,무사고,흰색,서울,1720,2WD,1
기아,K5,LPG,236672,2012,무사고,흰색,광주,480,2WD,1
기아,K5,하이브리드,10155,2021,무사고,흰색,경기,3950,2WD,4
기아,K5,LPG,149814,2011,무사고,흰색,충남,799,2WD,2
기아,K5,가솔린,100803,2016,무사고,흰색,부산,1380,2WD,1
기아,K5,가솔린,143866,2011,무사고,흰색,경기,590,2WD,1
기아,K5,LPG,27115,2020,무사고,흰색,광주,2350,2WD,1
기아,K5,LPG,163230,2016,무사고,흰색,충남,850,2WD,1
기아,K5,LPG,33061,2016,무사고,흰색,광주,1635,2WD,1
기아,K5,가솔린,15488,2019,무사고,흰색,경기,2050,2WD,1
기아,K5,가솔린,2650,2021,무사고,흰색,경기,2650,2WD,1
기아,K5,가솔린,90484,2017,무사고,흰색,전북,1540,2WD,1
기아,K5,하이브리드,193229,2012,무사고,흰색,경기,620,2WD,2
기아,K5,가솔린,63,2021,무사고,흰색,경기,2899,2WD,1
기아,K5,하이브리드,104090,2015,무사고,흰색,경기,1070,2WD,2
기아,K5,가솔린,84071,2017,무사고,흰색,경기,1380,2WD,1
기아,K5,하이브리드,134225,2012,무사고,흰색,인천,680,2WD,1
기아,K5,하이브리드,17474,2021,무사고,흰색,경기,3590,2WD,4
기아,K5,LPG,89723,2017,무사고,흰색,경기,1099,2WD,1
기아,K5,하이브리드,66655,2013,무사고,흰색,경기,1410,2WD,2
기아,K5,가솔린,159363,2016,무사고,흰색,대구,1229,2WD,1
기아,K5,가솔린,19849,2019,무사고,흰색,서울,1850,2WD,1
기아,K5,가솔린,5517,2020,무사고,흰색,경기,2890,2WD,1
기아,K5,가솔린,144055,2013,무사고,흰색,충남,820,2WD,2
기아,K5,가솔린,91490,2014,무사고,흰색,경기,1190,2WD,3
기아,K5,가솔린,43,2021,무사고,흰색,경기,3230,2WD,1
기아,K5,가솔린,156002,2011,무사고,흰색,광주,750,2WD,3
기아,K5,가솔린,157369,2012,무사고,흰색,경기,699,2WD,2
기아,K5,LPG,18733,2020,무사고,흰색,대구,2369,2WD,1
기아,K5,가솔린,69434,2011,무사고,흰색,경기,820,2WD,1
기아,K5,LPG,125912,2012,무사고,흰색,전북,830,2WD,1
기아,K5,가솔린,40067,2016,무사고,흰색,대구,1690,2WD,1
기아,K5,디젤,89806,2018,무사고,흰색,경기,1570,2WD,1
기아,K5,가솔린,11466,2020,무사고,흰색,경기,2720,2WD,1
기아,K5,가솔린,103435,2012,무사고,흰색,서울,790,2WD,2
기아,K5,하이브리드,65480,2018,무사고,흰색,광주,1990,2WD,3
기아,K5,가솔린,82336,2015,무사고,흰색,대구,1250,2WD,1
기아,K5,가솔린,29336,2019,무사고,흰색,경기,1900,2WD,1
기아,K5,가솔린,143442,2012,무사고,흰색,대구,720,2WD,2
기아,K5,LPG,169015,2019,무사고,흰색,경기,1140,2WD,1
기아,K5,LPG,106397,2014,무사고,흰색,충남,829,2WD,1
기아,K5,가솔린,80124,2016,무사고,흰색,충남,1499,2WD,1
기아,K5,LPG,99752,2019,무사고,흰색,광주,1399,2WD,1
기아,K5,LPG,164224,2012,무사고,흰색,서울,630,2WD,2
기아,K5,LPG,60235,2014,무사고,흰색,서울,990,2WD,1
기아,K5,가솔린,159740,2012,무사고,흰색,충남,677,2WD,1
기아,K5,가솔린,108579,2011,무사고,흰색,서울,799,2WD,2
기아,K5,하이브리드,66350,2019,무사고,흰색,인천,1950,2WD,2
기아,K5,LPG,97910,2018,무사고,흰색,인천,1100,2WD,1
기아,K5,LPG,100661,2017,무사고,흰색,광주,1100,2WD,1
기아,K5,가솔린,6767,2021,무사고,흰색,경기,2749,2WD,1
기아,K5,가솔린,126,2021,무사고,흰색,경기,3099,2WD,1
기아,K5,가솔린,78085,2016,무사고,흰색,광주,1550,2WD,1
기아,K5,가솔린,12471,2020,무사고,흰색,인천,2840,2WD,1
기아,K5,LPG,47703,2020,무사고,흰색,서울,2660,2WD,1
기아,K5,가솔린,116782,2012,무사고,흰색,인천,680,2WD,2
기아,K5,가솔린,175713,2011,무사고,흰색,인천,560,2WD,1
기아,K5,LPG,70943,2014,무사고,흰색,인천,1180,2WD,2
기아,K5,가솔린,149768,2016,무사고,흰색,광주,1200,2WD,1
기아,K5,LPG,138447,2016,무사고,흰색,대전,890,2WD,1
기아,K5,가솔린,93223,2014,무사고,흰색,울산,1160,2WD,1
기아,K5,LPG,214980,2013,무사고,흰색,전북,500,2WD,1
기아,K5,LPG,137953,2016,무사고,흰색,전북,980,2WD,1
기아,K5,하이브리드,135049,2013,무사고,흰색,대전,990,2WD,2
기아,K5,디젤,75776,2016,무사고,흰색,경기,1355,2WD,1
