,brand,name,type,km,year,accident,color,location,price,wd,trim
292,르노삼성,SM7,가솔린,67803,2015,무사고,검정색,경기,1180,2WD,3.0
293,르노삼성,M6,가솔린,25336,2020,무사고,검정색,인천,1570,2WD,1.0
294,르노삼성,M3,디젤,116801,2015,무사고,검정색,충남,820,2WD,3.0
295,르노삼성,SM7,가솔린,94359,2010,무사고,검정색,대구,580,2WD,1.0
296,르노삼성,M6,가솔린,31409,2019,무사고,검정색,경기,1880,2WD,3.0
298,르노삼성,M6,가솔린,24618,2019,무사고,검정색,서울,2280,2WD,3.0
299,르노삼성,M6,가솔린,73523,2017,무사고,검정색,경기,1530,2WD,2.0
300,르노삼성,M5,가솔린,137024,2011,무사고,검정색,경기,340,2WD,2.0
301,르노삼성,M6,가솔린,76983,2017,무사고,검정색,충남,1790,2WD,3.0
303,르노삼성,M3,가솔린,78433,2013,무사고,검정색,부산,570,2WD,1.0
304,르노삼성,M5,가솔린,110403,2008,무사고,검정색,부산,330,2WD,2.0
305,르노삼성,M6,LPG,99274,2016,무사고,검정색,경기,1420,2WD,2.0
306,르노삼성,M5,디젤,118377,2014,무사고,검정색,경기,830,2WD,2.0
307,르노삼성,M6,가솔린,26845,2019,무사고,검정색,서울,3270,2WD,3.0
308,르노삼성,M6,디젤,40364,2018,무사고,검정색,서울,2290,4WD,3.0
309,르노삼성,M5,가솔린,46205,2015,무사고,검정색,경기,990,2WD,1.0
310,르노삼성,클리오,디젤,58028,2019,무사고,검정색,대구,1390,2WD,2.0
311,르노삼성,M5,가솔린,171481,2010,무사고,검정색,경기,220,2WD,1.0
312,르노삼성,M6,가솔린,66976,2017,무사고,검정색,경기,1699,2WD,3.0
313,르노삼성,M6,LPG,51857,2017,무사고,검정색,대전,1450,2WD,1.0
314,르노삼성,M6,LPG,18185,2020,무사고,검정색,부산,2655,2WD,3.0
315,르노삼성,M6,LPG,26801,2020,무사고,검정색,부산,2530,2WD,3.0
316,르노삼성,M6,디젤,56515,2016,무사고,검정색,경기,1360,2WD,1.0
317,르노삼성,M5,가솔린,91971,2010,무사고,검정색,경기,350,2WD,1.0
318,르노삼성,M5,가솔린,115898,2009,무사고,검정색,대전,370,2WD,2.0
319,르노삼성,SM7,가솔린,111175,2011,무사고,검정색,부산,430,2WD,1.0
320,르노삼성,M3,가솔린,88408,2016,무사고,검정색,부산,550,2WD,1.0
321,르노삼성,SM7,가솔린,185205,2009,무사고,검정색,부산,330,2WD,3.0
322,르노삼성,M6,LPG,23445,2021,무사고,검정색,경기,2120,2WD,1.0
324,르노삼성,SM7,가솔린,105105,2014,무사고,검정색,경기,850,2WD,2.0
326,르노삼성,M6,디젤,26502,2018,무사고,검정색,서울,2280,2WD,3.0
327,르노삼성,M6,가솔린,35046,2017,무사고,검정색,경기,1370,2WD,2.0
328,르노삼성,M6,디젤,63116,2019,무사고,검정색,경기,1960,2WD,3.0
329,르노삼성,M6,LPG,32173,2021,무사고,검정색,경기,2390,2WD,2.0
330,르노삼성,M3,디젤,139786,2014,무사고,검정색,대구,830,2WD,2.0
331,르노삼성,M6,가솔린,44744,2016,무사고,검정색,경기,1590,2WD,2.0
336,르노삼성,M6,LPG,36853,2016,무사고,검정색,경기,1580,2WD,2.0
337,르노삼성,M6,LPG,34619,2019,무사고,검정색,부산,1920,2WD,3.0
338,르노삼성,M6,가솔린,28800,2019,무사고,검정색,경기,1460,2WD,1.0
339,르노삼성,M6,LPG,7084,2021,무사고,검정색,서울,1999,2WD,1.0
340,르노삼성,SM7,가솔린,98576,2012,무사고,검정색,경기,699,2WD,1.0
341,르노삼성,M6,가솔린,59133,2019,무사고,검정색,경기,1580,2WD,2.0
342,르노삼성,M5,가솔린,95664,2007,무사고,검정색,경기,240,2WD,1.0
343,르노삼성,M5,가솔린,90316,2010,무사고,검정색,경기,380,2WD,2.0
344,르노삼성,M6,가솔린,9552,2019,무사고,검정색,경기,1895,2WD,2.0
345,르노삼성,SM7,가솔린,235677,2008,무사고,검정색,대구,240,2WD,1.0
346,르노삼성,M6,디젤,48141,2019,무사고,검정색,부산,1530,2WD,1.0
347,르노삼성,SM7,가솔린,76186,2015,무사고,검정색,경기,1130,2WD,3.0
348,르노삼성,M6,디젤,109985,2016,무사고,검정색,대구,1215,2WD,2.0
349,르노삼성,M6,디젤,97385,2017,무사고,검정색,대구,1199,2WD,1.0
350,르노삼성,SM7,가솔린,43731,2015,무사고,검정색,경기,1530,2WD,3.0
352,르노삼성,SM7,가솔린,56089,2015,무사고,검정색,서울,1200,2WD,2.0
353,르노삼성,SM7,가솔린,83544,2012,무사고,검정색,부산,980,2WD,3.0
354,르노삼성,M6,디젤,91947,2017,무사고,검정색,부산,1690,4WD,3.0
355,르노삼성,M6,디젤,64824,2019,무사고,검정색,경기,1780,2WD,2.0
356,르노삼성,M3,디젤,90805,2015,무사고,검정색,부산,950,2WD,2.0
358,르노삼성,M5,디젤,67740,2011,무사고,검정색,부산,880,4WD,3.0
359,르노삼성,M6,가솔린,13250,2020,무사고,검정색,부산,2630,2WD,3.0
360,르노삼성,M3,가솔린,4935,2020,무사고,검정색,부산,2060,2WD,3.0
361,르노삼성,M6,디젤,64685,2017,무사고,검정색,부산,1989,4WD,3.0
362,르노삼성,SM7,가솔린,186648,2012,무사고,검정색,부산,499,2WD,2.0
363,르노삼성,SM7,가솔린,131834,2010,무사고,검정색,경기,350,2WD,1.0
364,르노삼성,M6,LPG,27333,2019,무사고,검정색,부산,1660,2WD,1.0
366,르노삼성,M6,LPG,71461,2017,무사고,검정색,대구,1590,2WD,2.0
368,르노삼성,M5,가솔린,157987,2010,무사고,검정색,경기,310,2WD,2.0
369,르노삼성,M5,가솔린,154918,2010,무사고,검정색,대구,425,2WD,2.0
370,르노삼성,M5,가솔린,56166,2013,무사고,검정색,대구,899,2WD,3.0
371,르노삼성,SM7,가솔린,154412,2010,무사고,검정색,부산,380,2WD,1.0
372,르노삼성,M3,디젤,68598,2016,무사고,검정색,서울,1050,2WD,2.0
373,르노삼성,M6,디젤,129052,2017,무사고,검정색,경기,1439,2WD,3.0
374,르노삼성,M6,가솔린,42062,2019,무사고,검정색,경기,1680,2WD,1.0
376,르노삼성,M6,가솔린,57202,2017,무사고,검정색,부산,1750,2WD,3.0
377,르노삼성,M6,디젤,34559,2017,무사고,검정색,경기,2190,2WD,3.0
