,brand,name,type,km,year,accident,color,location,price,wd,trim
423,현대,제네시스,가솔린,147568,2012,무사고,검정색,광주,990,2WD,2.0
427,현대,쏘나타,디젤,60421,2018,무사고,검정색,광주,1550,2WD,1.0
430,현대,그랜저,LPG,108655,2017,무사고,검정색,광주,1850,2WD,1.0
431,현대,그랜저,LPG,123240,2017,무사고,검정색,경기,1670,2WD,1.0
432,현대,제네시스,가솔린,108127,2016,무사고,검정색,인천,1950,AWD,1.0
433,현대,그랜저,가솔린,59336,2012,무사고,검정색,인천,1000,2WD,4.0
434,현대,제네시스,가솔린,97602,2016,무사고,검정색,인천,2040,2WD,1.0
435,현대,쏘나타,가솔린,4937,2017,무사고,검정색,인천,1650,2WD,1.0
440,현대,그랜저,가솔린,155347,2015,무사고,검정색,경기,1199,2WD,3.0
441,현대,그랜저,가솔린,116083,2012,무사고,검정색,인천,800,2WD,2.0
443,현대,그랜저,가솔린,51656,2018,무사고,검정색,경기,2100,2WD,1.0
447,현대,그랜저,가솔린,163929,2012,무사고,검정색,인천,700,2WD,2.0
449,현대,그랜저,LPG,94245,2016,무사고,검정색,경기,1170,2WD,1.0
451,현대,제네시스,가솔린,59372,2016,무사고,검정색,경기,2590,AWD,2.0
452,현대,그랜저,가솔린,59949,2019,무사고,검정색,경기,2500,2WD,3.0
453,현대,제네시스,가솔린,76744,2016,무사고,검정색,부산,2750,AWD,2.0
454,현대,그랜저,LPG,34939,2019,무사고,검정색,인천,2790,2WD,3.0
455,현대,그랜저,LPG,134981,2018,무사고,검정색,광주,1850,2WD,3.0
458,현대,싼타페,디젤,61097,2015,무사고,검정색,경기,1690,2WD,2.0
459,현대,그랜저,가솔린,123727,2015,무사고,검정색,광주,1170,2WD,1.0
460,현대,그랜저,LPG,85853,2017,무사고,검정색,전북,2199,2WD,3.0
461,현대,쏘나타,디젤,71067,2016,무사고,검정색,충남,1270,2WD,1.0
462,현대,그랜저,가솔린,119315,2011,무사고,검정색,충남,599,2WD,3.0
463,현대,그랜저,LPG,98878,2018,무사고,검정색,광주,1780,2WD,1.0
464,현대,그랜저,가솔린,61583,2014,무사고,검정색,경기,1390,2WD,1.0
467,현대,아반떼,가솔린,82274,2016,무사고,검정색,부산,1190,2WD,1.0
469,현대,그랜저,LPG,175079,2017,무사고,검정색,경기,1050,2WD,1.0
471,현대,제네시스,가솔린,70022,2016,무사고,검정색,경기,2349,AWD,2.0
475,현대,쏘나타,하이브리드,31285,2020,무사고,검정색,서울,2840,2WD,2.0
478,현대,그랜저,가솔린,84700,2019,무사고,검정색,대구,2133,2WD,2.0
484,현대,그랜저,가솔린,106733,2009,무사고,검정색,경기,650,2WD,2.0
485,현대,i3,가솔린,184803,2009,무사고,검정색,전북,350,2WD,2.0
486,현대,그랜저,가솔린,62118,2018,무사고,검정색,대구,2399,2WD,3.0
487,현대,그랜저,디젤,152072,2016,무사고,검정색,경기,1220,2WD,1.0
488,현대,제네시스,가솔린,233897,2015,무사고,검정색,충북,1380,AWD,1.0
489,현대,그랜저,가솔린,58756,2019,무사고,검정색,서울,2980,2WD,3.0
490,현대,그랜저,가솔린,126735,2013,무사고,검정색,울산,1050,2WD,3.0
491,현대,크루즈,디젤,99897,2015,무사고,검정색,광주,1930,2WD,3.0
492,현대,아슬란,가솔린,130013,2016,무사고,검정색,충남,1589,2WD,3.0
494,현대,그랜저,디젤,87476,2016,무사고,검정색,경기,1470,2WD,1.0
495,현대,그랜저,가솔린,91473,2017,무사고,검정색,대전,1730,2WD,1.0
496,현대,그랜저,가솔린,114528,2012,무사고,검정색,경기,950,2WD,2.0
497,현대,그랜저,가솔린,88357,2017,무사고,검정색,충남,2200,2WD,3.0
499,현대,제네시스,가솔린,275973,2012,무사고,검정색,경기,570,2WD,2.0
502,현대,그랜저,가솔린,162669,2016,무사고,검정색,대전,1090,2WD,1.0
503,현대,제네시스,가솔린,174389,2014,무사고,검정색,서울,850,2WD,1.0
507,현대,그랜저,가솔린,73860,2014,무사고,검정색,경기,9999,2WD,1.0
509,현대,그랜저,가솔린,139444,2017,무사고,검정색,충남,1299,2WD,1.0
510,현대,제네시스,가솔린,80290,2016,무사고,검정색,경기,2260,2WD,2.0
511,현대,그랜저,하이브리드,24511,2019,무사고,검정색,서울,3350,2WD,3.0
512,현대,쏘나타,하이브리드,58829,2019,무사고,검정색,대전,1990,2WD,1.0
513,현대,제네시스,가솔린,122669,2015,무사고,검정색,서울,2120,AWD,2.0
514,현대,그랜저,가솔린,77888,2019,무사고,검정색,충남,2570,2WD,3.0
515,현대,그랜저,가솔린,153510,2013,무사고,검정색,경기,770,2WD,1.0
517,현대,싼타페,디젤,97923,2015,무사고,검정색,경기,1580,2WD,2.0
518,현대,제네시스,가솔린,139668,2015,무사고,검정색,광주,2100,AWD,2.0
520,현대,그랜저,가솔린,73820,2017,무사고,검정색,충남,2500,2WD,2.0
521,현대,그랜저,하이브리드,172712,2016,무사고,검정색,전북,1190,2WD,2.0
522,현대,쏘나타,LPG,100662,2013,무사고,검정색,서울,730,2WD,1.0
