,name,brand,color,fuel,accident,price,mile,model
7083,올란도,쉐보레(GM대우),쥐색,디젤,단순교환,1180,90627,1.6 디젤 다이나믹
7084,뉴SM3,르노삼성,은색,가솔린,단순교환,440,70593,LE
7085,LF 쏘나타,현대,검정색,가솔린,무사고,1550,52138,2.0 스마트세부등급 없음
7086,티구안 2세대,폭스바겐,쥐색,디젤,무사고,3850,14120,2.0 TDI 4모션 프레스티지
7087,코나,현대,흰색,가솔린,무사고,2330,6690,1.6 터보 2WD프리미엄
7088,스파크,쉐보레(GM대우),흰색,가솔린,무사고,530,74015,LT기본형
7089,그랜저 HG,현대,검정색,가솔린,무사고,1460,120554,HG300 프리미엄 컬렉션
7090,더 뉴 스파크,쉐보레(GM대우),자주색,가솔린,단순교환,990,22030,프리미어
7091,S90,볼보,검정색,가솔린,무사고,5450,16400,T5 인스크립션
7092,더 뉴 말리부,쉐보레(GM대우),흰색,가솔린,무사고,1950,14561,1.3 터보 LT디럭스
7093,더 뉴 레이,기아,쥐색,가솔린,무사고,990,28627,밴고급형
7094,더 K9,기아,쥐색,가솔린,무사고,4350,40208,3.8 GDI AWD플래티넘Ⅲ
7095,K8 하이브리드,기아,녹색,가솔린+전기,무사고,5090,3468,시그니처
7096,K5 2세대,기아,흰색,디젤,무사고,1480,70921,1.7 디젤 SX노블레스
7097,더 뉴 K3 2세대,기아,쥐색,가솔린,무사고,2430,2514,시그니처
7098,제네시스,현대,은회색,가솔린,무사고,1270,84051,BH330 럭셔리기본형
7099,올 뉴 K7,기아,쥐색,가솔린,무사고,2110,68841,2.4 GDI 리미티드
7100,QM6,르노삼성,쥐색,가솔린,무사고,2220,37503,가솔린 2WD RE 시그니처
7101,아반떼 AD,현대,은색,가솔린,사고,1270,37524,1.6 GDI 모던세부등급 없음
7102,쏘나타 DN8 하이브리드,현대,흰색,가솔린+전기,무사고,3130,32961,인스퍼레이션
7103,뷰티풀 코란도,쌍용,쥐색,가솔린,무사고,1980,9062,가솔린 2WDC5 프라임
